序号,订单号,订单类型,商品名称,订单日期,订单时间,起租日期,退租日期,结算日期,租金
1,WT_ZL_260406_00003,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-06,09:33:51,2026-04-06,2026-04-06,2026-04-06,220.00
2,WT_ZL_260406_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-06,08:38:06,2026-04-06,2026-04-06,2026-04-06,220.00
3,WT_ZL_260405_00008,正常订单,【高级】BurtonStepOn,2026-04-05,18:17:30,2026-04-06,2026-04-06,2026-04-06,260.00
4,WT_ZL_260405_00008,正常订单,【高级】BurtonStepOn,2026-04-05,18:17:30,2026-04-06,2026-04-06,2026-04-06,260.00
5,WT_ZL_260405_00007,正常订单,【双板鞋】全品牌,2026-04-05,11:36:40,2026-04-05,2026-04-05,2026-04-05,120.00
6,WT_ZL_260405_00006,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-05,10:28:52,2026-04-05,2026-04-06,2026-04-06,360.00
7,WT_ZL_260405_00005,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-05,09:34:57,2026-04-05,2026-04-05,2026-04-05,220.00
8,WT_ZL_260405_00003,正常订单,【双板鞋】全品牌,2026-04-05,08:27:00,2026-04-05,2026-04-05,2026-04-05,120.00
9,WT_ZL_260405_00002,正常订单,【中级】全能板+青少全能,2026-04-05,08:11:53,2026-04-05,2026-04-05,2026-04-05,130.00
10,WT_ZL_260405_00001,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-05,07:57:41,2026-04-05,2026-04-05,2026-04-05,180.00
11,WT_ZL_260404_00010,正常订单,头盔,2026-04-04,18:43:57,2026-04-05,2026-04-05,2026-04-06,60.00
12,WT_ZL_260404_00010,正常订单,雪镜,2026-04-04,18:43:57,2026-04-05,2026-04-05,2026-04-06,60.00
13,WT_ZL_260404_00008,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-04,18:11:07,2026-04-04,2026-04-05,2026-04-05,360.00
14,WT_ZL_260404_00007,正常订单,【双板鞋】全品牌,2026-04-04,18:06:50,2026-04-04,2026-04-04,2026-04-04,110.00
15,WT_ZL_260404_00006,正常订单,【其他】普通单板,2026-04-04,12:48:27,2026-04-04,2026-04-04,2026-04-04,150.00
16,WT_ZL_260404_00005,正常订单,【对讲机】小米/318,2026-04-04,12:18:09,2026-04-04,2026-04-05,2026-04-06,100.00
17,WT_ZL_260404_00005,正常订单,【对讲机】小米/318,2026-04-04,12:18:09,2026-04-04,2026-04-05,2026-04-06,100.00
18,WT_ZL_260404_00004,正常订单,雪镜,2026-04-04,11:35:32,2026-04-04,2026-04-05,2026-04-05,120.00
19,WT_ZL_260404_00003,正常订单,【高级】BurtonStepOn,2026-04-04,10:14:28,2026-04-04,2026-04-05,2026-04-06,520.00
20,WT_ZL_260404_00002,正常订单,中级双板套餐,2026-04-04,09:16:36,2026-04-04,2026-04-05,2026-04-05,360.00
21,WT_ZL_260404_00002,正常订单,【其他】普通单板,2026-04-04,09:16:36,2026-04-04,2026-04-05,2026-04-05,300.00
22,WT_ZL_260404_00002,正常订单,头盔,2026-04-04,09:16:36,2026-04-04,2026-04-05,2026-04-05,120.00
23,WT_ZL_260404_00001,正常订单,【中级】全能板+青少全能,2026-04-04,08:52:04,2026-04-04,2026-04-05,2026-04-05,260.00
24,WT_ZL_260403_00002,正常订单,【高级】民用高级+青少竞技+公园野雪,2026-04-03,09:36:39,2026-04-03,2026-04-03,2026-04-03,220.00
